#,Auction Info
+,aa,aaa,bb,cc
#,Items
+,Apple iphone 5,A slim and stylish design makes the Apple iPhone 5 lightweight and easy to carry around.,5,50,John Doe,123456789
+,Apple iphone 5,A slim and stylish design makes the Apple iPhone 5 lightweight and easy to carry around.,5,50,John Doe,123456789
+,Apple iphone 5,A slim and stylish design makes the Apple iPhone 5 lightweight and easy to carry around.,5,50,no donor added,123456789
+,Apple iphone 5,A slim and stylish design makes the Apple iPhone 5 lightweight and easy to carry around.,0,0,John Doe,0
+,Apple iphone 5,A slim and stylish design makes the Apple iPhone 5 lightweight and easy to carry around.,0,0,John Doe,0
+,Apple iphone 5,A slim and stylish design makes the Apple iPhone 5 lightweight and easy to carry around.,0,0,John Doe,0
+,Apple iphone 5,A slim and stylish design makes the Apple iPhone 5 lightweight and easy to carry around.,5,50,John Doe,123456789
#,Donors
+,John,Doe,206 222 2222,JohnDoe@gmail.com,5555 55th Ave S
+,John,Doe,206 222 2222,JohnDoe@gmail.com,5555 55th Ave S
#,Bidders
